"","State","gamma_med","lam_med","rho_med","gamma_CrI_L","lam_CrI_L","rho_CrI_L","gamma_CrI_U","lam_CrI_U","rho_CrI_U"
"1","aguascalientes",0.00945314442168529,0.00966382355061373,0.00527330236431852,0.000358991393214285,0.00821221472220321,0.00457792297048835,0.0475704833422773,0.0110787598067506,0.00620460531526739
"2","baja california sur",0.13974895109365,0.00985527554989061,0.0642374325865686,0.0993141491909875,0.00902286960281651,0.0611026753387844,0.189668487804458,0.0106778937825338,0.0678103458765568
"3","campeche",0.0928513855977798,0.0154050278787706,0.144084969347828,0.0707521372980388,0.0149561568805982,0.14064662940059,0.116617650856934,0.0158426666252014,0.147483566732178
"4","chiapas",0.991933083540932,0.0123798647436367,0.0348461630683083,0.959424003725758,0.0121374000920708,0.0343638187824445,0.99967199968777,0.0126352778856925,0.0354232428672836
"5","coahuila",0.000329880457770521,0.00946215407953172,0.0466096576791876,1.32454895097407e-05,0.00916686677957248,0.0450640448046327,0.00176408987150012,0.00976380001255818,0.0482091078954266
"6","colima",0.423330898015651,0.012874255618874,0.148139945276348,0.367083153868047,0.012246500837353,0.142377320112604,0.490791062880324,0.0134465627227784,0.153637454378396
"7","durango",0.00102629013658519,0.0091526888162926,0.0239665717640064,3.54888345072245e-05,0.00862557123420475,0.0224721307609017,0.00537573203750491,0.00970865720181494,0.0256139173083083
"8","guanajuato",0.000468113390848708,0.0108185418845493,0.0473210435325029,1.81384733271079e-05,0.0106161497094123,0.0463899850163765,0.00246787359020732,0.0110248735384298,0.048269531236488
"9","guerrero",0.153296574665478,0.0142706952284871,0.115520299924177,0.136684606939848,0.0139948776365161,0.113766010917515,0.170847025373804,0.0145405359847614,0.117297442750098
"10","hidalgo",0.0209601924887502,0.0115800979354857,0.0181481355819928,0.00219964958451081,0.0109788971176117,0.0174079021860209,0.0491919007165499,0.0121525356377145,0.0188952538800367
"11","jalisco",0.0380178738383637,0.00978672658829178,0.19372870088246,0.0330935045584642,0.00966400788957584,0.191905907549872,0.0430112882947087,0.00990683860298502,0.195636597809337
"12","mexico",0.0903206709655516,0.0108684696896908,0.00574443209681438,0.0627370923871913,0.0102975899246462,0.00555958865718856,0.12205645733869,0.0114164481441781,0.00593506659541197
"13","michoacan",0.0474612459463644,0.0112433428689983,0.0462733904847812,0.0343805374449634,0.0109326919648762,0.0452717622886505,0.0611668077999718,0.011555590288435,0.0472668736205843
"14","morelos",0.059968545294182,0.0118249381097626,0.324495841108691,0.0505808069034114,0.0116365135503471,0.320685736004351,0.0694637366720689,0.0120135587147646,0.328351405141485
"15","nayarit",0.049693495732939,0.0110650717954838,0.1862513596138,0.0366346090070007,0.0107524125002102,0.182344304610439,0.0640684387906146,0.0113716541909239,0.190196313945102
"16","nuevo leon",0.00289589743713213,0.0109218455550085,0.0541548120651199,0.000107957974797175,0.0106939288421739,0.0531638334456079,0.0104014481740673,0.0111355974962986,0.0551732535739207
"17","oaxaca",0.157992270551161,0.0120052101764208,0.123883010513778,0.144371112108334,0.0117741058169869,0.122163541079572,0.172861911558102,0.0122317508111386,0.125590903942519
"18","puebla",0.0279868607469708,0.0124125509559038,0.0332693500445728,0.0145678676046366,0.0120801147094927,0.0326142742416738,0.042742588414,0.0127356201828145,0.033942607638968
"19","queretaro",0.0107435823768511,0.00980281151922026,0.00514778123957484,0.000414703657297988,0.0086306943045626,0.00461705167675446,0.0474376510972917,0.0109283774501511,0.00580797573595401
"20","quintana roo",0.0701433398049749,0.0145103612448547,0.168109071072339,0.0564121111952697,0.0142050054668662,0.165619824414328,0.0846984219287588,0.0148115905412292,0.170673342711035
"21","san luis potosi",0.00171815601367461,0.0132376112608571,0.0645820824743374,6.6881928602733e-05,0.0129756665103256,0.0633606734003838,0.00803849830270283,0.0134902958177923,0.0658757102072845
"22","sinaloa",0.0398912080422275,0.0121736127770077,0.0583567380289847,0.023864857180059,0.0118182115716768,0.057078773935781,0.0572985973194492,0.0125222818309529,0.0596702289570327
"23","sonora",0.00473938856156614,0.010921282324645,0.0472389219481907,0.000225339524855553,0.0105715152482651,0.0459446532230992,0.0169795218806312,0.0112469930983218,0.048614650698375
"24","tabasco",0.0688460224661799,0.0141587647331142,0.102117588970958,0.0538657228198915,0.0138335398880808,0.10032821228109,0.0848510368840478,0.0144775641402292,0.103907281968539
"25","tamaulipas",0.00649610223743507,0.0130884105845063,0.0928240527418912,0.000535143922818689,0.0128595050627899,0.0914584846311073,0.0162568568358979,0.0133147056934674,0.0941860934910372
"26","veracruz",0.0862475317083501,0.012581046734695,0.138901039040668,0.0786619977551595,0.0124363377553233,0.137716285816767,0.0943564993188936,0.0127228835933113,0.14009039371377
"27","yucatan",0.0612153572021793,0.0181712983343194,0.19945372351567,0.0494224067487562,0.0179326786689429,0.196957194329887,0.0737663003585933,0.0184036948115935,0.201883383763293
