"","State","chi_med","FOI_1_T1_med","FOI_1_T2_med","FOI_1_T3_med","FOI_1_T4_med","FOI_1_T5_med","FOI_1_T6_med","FOI_1_T7_med","FOI_1_T8_med","FOI_2_T1_med","FOI_2_T2_med","FOI_2_T3_med","FOI_2_T4_med","FOI_2_T5_med","FOI_2_T6_med","FOI_2_T7_med","FOI_2_T8_med","FOI_3_T1_med","FOI_3_T2_med","FOI_3_T3_med","FOI_3_T4_med","FOI_3_T5_med","FOI_3_T6_med","FOI_3_T7_med","FOI_3_T8_med","FOI_4_T1_med","FOI_4_T2_med","FOI_4_T3_med","FOI_4_T4_med","FOI_4_T5_med","FOI_4_T6_med","FOI_4_T7_med","FOI_4_T8_med","FOI_H_1_1_med","FOI_H_1_2_med","FOI_H_1_3_med","FOI_H_1_4_med","FOI_H_1_5_med","FOI_H_2_1_med","FOI_H_2_2_med","FOI_H_2_3_med","FOI_H_2_4_med","FOI_H_2_5_med","FOI_H_3_1_med","FOI_H_3_2_med","FOI_H_3_3_med","FOI_H_3_4_med","FOI_H_3_5_med","FOI_H_4_1_med","FOI_H_4_2_med","FOI_H_4_3_med","FOI_H_4_4_med","FOI_H_4_5_med","gamma_med","rho_med","chi_CrI_L","FOI_1_T1_CrI_L","FOI_1_T2_CrI_L","FOI_1_T3_CrI_L","FOI_1_T4_CrI_L","FOI_1_T5_CrI_L","FOI_1_T6_CrI_L","FOI_1_T7_CrI_L","FOI_1_T8_CrI_L","FOI_2_T1_CrI_L","FOI_2_T2_CrI_L","FOI_2_T3_CrI_L","FOI_2_T4_CrI_L","FOI_2_T5_CrI_L","FOI_2_T6_CrI_L","FOI_2_T7_CrI_L","FOI_2_T8_CrI_L","FOI_3_T1_CrI_L","FOI_3_T2_CrI_L","FOI_3_T3_CrI_L","FOI_3_T4_CrI_L","FOI_3_T5_CrI_L","FOI_3_T6_CrI_L","FOI_3_T7_CrI_L","FOI_3_T8_CrI_L","FOI_4_T1_CrI_L","FOI_4_T2_CrI_L","FOI_4_T3_CrI_L","FOI_4_T4_CrI_L","FOI_4_T5_CrI_L","FOI_4_T6_CrI_L","FOI_4_T7_CrI_L","FOI_4_T8_CrI_L","FOI_H_1_1_CrI_L","FOI_H_1_2_CrI_L","FOI_H_1_3_CrI_L","FOI_H_1_4_CrI_L","FOI_H_1_5_CrI_L","FOI_H_2_1_CrI_L","FOI_H_2_2_CrI_L","FOI_H_2_3_CrI_L","FOI_H_2_4_CrI_L","FOI_H_2_5_CrI_L","FOI_H_3_1_CrI_L","FOI_H_3_2_CrI_L","FOI_H_3_3_CrI_L","FOI_H_3_4_CrI_L","FOI_H_3_5_CrI_L","FOI_H_4_1_CrI_L","FOI_H_4_2_CrI_L","FOI_H_4_3_CrI_L","FOI_H_4_4_CrI_L","FOI_H_4_5_CrI_L","gamma_CrI_L","rho_CrI_L","chi_CrI_U","FOI_1_T1_CrI_U","FOI_1_T2_CrI_U","FOI_1_T3_CrI_U","FOI_1_T4_CrI_U","FOI_1_T5_CrI_U","FOI_1_T6_CrI_U","FOI_1_T7_CrI_U","FOI_1_T8_CrI_U","FOI_2_T1_CrI_U","FOI_2_T2_CrI_U","FOI_2_T3_CrI_U","FOI_2_T4_CrI_U","FOI_2_T5_CrI_U","FOI_2_T6_CrI_U","FOI_2_T7_CrI_U","FOI_2_T8_CrI_U","FOI_3_T1_CrI_U","FOI_3_T2_CrI_U","FOI_3_T3_CrI_U","FOI_3_T4_CrI_U","FOI_3_T5_CrI_U","FOI_3_T6_CrI_U","FOI_3_T7_CrI_U","FOI_3_T8_CrI_U","FOI_4_T1_CrI_U","FOI_4_T2_CrI_U","FOI_4_T3_CrI_U","FOI_4_T4_CrI_U","FOI_4_T5_CrI_U","FOI_4_T6_CrI_U","FOI_4_T7_CrI_U","FOI_4_T8_CrI_U","FOI_H_1_1_CrI_U","FOI_H_1_2_CrI_U","FOI_H_1_3_CrI_U","FOI_H_1_4_CrI_U","FOI_H_1_5_CrI_U","FOI_H_2_1_CrI_U","FOI_H_2_2_CrI_U","FOI_H_2_3_CrI_U","FOI_H_2_4_CrI_U","FOI_H_2_5_CrI_U","FOI_H_3_1_CrI_U","FOI_H_3_2_CrI_U","FOI_H_3_3_CrI_U","FOI_H_3_4_CrI_U","FOI_H_3_5_CrI_U","FOI_H_4_1_CrI_U","FOI_H_4_2_CrI_U","FOI_H_4_3_CrI_U","FOI_H_4_4_CrI_U","FOI_H_4_5_CrI_U","gamma_CrI_U","rho_CrI_U"
"1","aguascalientes",1.15701949636919,NA,NA,NA,NA,NA,NA,NA,0.00267039217211782,NA,NA,NA,NA,NA,NA,NA,0.000357485391851577,NA,NA,NA,NA,NA,NA,NA,0.000570554582639333,NA,NA,NA,NA,NA,NA,NA,NA,0.0063131265632052,0.0139113263485316,0.0142185645219346,0.00506044463211573,0.0125278245040314,0.0180014415590438,0.022138984875878,0.0145526809234399,0.0087201701560735,0.0213660413775923,0.0108362465515766,0.0185182131770352,0.0147597146144826,0.00615369742419908,0.0150414042323715,NA,NA,NA,NA,NA,0.0032136160336352,0.376028574924191,0.78596510788852,NA,NA,NA,NA,NA,NA,NA,0.000916779751797756,NA,NA,NA,NA,NA,NA,NA,8.73922226239616e-05,NA,NA,NA,NA,NA,NA,NA,0.000162676660575935,NA,NA,NA,NA,NA,NA,NA,NA,0.000292248094955204,0.000435815092950529,0.000570081281600241,9.31662799851878e-05,0.000216226511393594,0.00162057127602973,0.000558886645694095,0.000403116019398626,0.000104826701999764,0.000261810142988044,0.000636035735997935,0.000512793069127161,0.000461303477318772,9.51960849076333e-05,0.000253063076226842,NA,NA,NA,NA,NA,4.53262343759066e-05,0.0185711480341617,1.68534921417892,NA,NA,NA,NA,NA,NA,NA,0.0555501071685749,NA,NA,NA,NA,NA,NA,NA,0.00791772891079225,NA,NA,NA,NA,NA,NA,NA,0.0117482185141735,NA,NA,NA,NA,NA,NA,NA,NA,0.0253189218954688,0.0470660468657037,0.0427337045163056,0.0323062433660793,0.149866718672256,0.0535915361321525,0.0752528116768634,0.0707128657679408,0.142538026486301,0.48682789110726,0.0403380196155169,0.0616199895916034,0.059056557358864,0.0523293038823889,0.286937196324819,NA,NA,NA,NA,NA,0.0337158253349784,0.895108607462961
"2","baja california sur",1.49903634174009,NA,NA,NA,NA,NA,NA,0.00590616000450824,0.0776111659040445,NA,NA,NA,NA,NA,NA,0.00557392340549508,0.0117600293977262,NA,NA,NA,NA,NA,NA,0.00947840871912917,0.0772383832360703,NA,NA,NA,NA,NA,NA,NA,NA,0.00896979263443127,0.0269145921921827,0.0162109089884109,0.00211852828915926,0.00213365524297333,0.0222115693208533,0.0278822219571228,0.0133189044617875,0.00259931981141669,0.00289228008853742,0.00906134650264919,0.0140786776472614,0.022496829369379,0.00246866307477248,0.00232269909085347,NA,NA,NA,NA,NA,0.00416253968933258,0.0355435474914363,1.12997897507536,NA,NA,NA,NA,NA,NA,0.000356400958047581,0.00476990726930533,NA,NA,NA,NA,NA,NA,0.000330132135793227,0.000703676043201783,NA,NA,NA,NA,NA,NA,0.000574122155994253,0.00468353345470089,NA,NA,NA,NA,NA,NA,NA,NA,0.00048255436910522,0.00582792919291472,0.0013349880063524,3.43733560124289e-05,3.19758164501127e-05,0.00500361811230182,0.00216800241415819,0.000599222277767366,3.67048451485299e-05,3.35402043328731e-05,0.000591135698990573,0.000965560611455352,0.00312478816316354,3.70584189037562e-05,3.4902044887402e-05,NA,NA,NA,NA,NA,0.000278741548826362,0.00638326250017989,1.89646467478406,NA,NA,NA,NA,NA,NA,0.0342396502780613,0.414526193619745,NA,NA,NA,NA,NA,NA,0.0470655489670646,0.0874023759679071,NA,NA,NA,NA,NA,NA,0.0557994264870258,0.444878449019006,NA,NA,NA,NA,NA,NA,NA,NA,0.0293481827928412,0.0486958596049812,0.038624330782611,0.0167350346621626,0.0193604948164134,0.0550807876512229,0.0587269807337301,0.0484860694776961,0.0265205234536508,0.0429743930944956,0.0294947799277731,0.0375993956993292,0.0430708975299858,0.0201294433956053,0.0219230604641063,NA,NA,NA,NA,NA,0.0793288158369755,0.553695582984125
"3","campeche",1.00901821570237,NA,NA,NA,0.00829271873424541,0.00281083784426872,9.36420770987096e-06,0.00120809038800296,0.000778435530385978,NA,NA,NA,0.0141336720182299,0.0065989299351323,0.00194332916727358,0.00124066020507894,0.000828669086147328,NA,NA,NA,7.05575514962886e-05,1.30206672856889e-05,1.27428801800016e-05,0.00423673739011886,0.168098099660808,NA,NA,NA,NA,NA,NA,NA,NA,0.0352803429337563,0.00548146803250731,0.0190214648816921,0.0231054719383362,0.00310159881355274,0.0314646916972178,0.008812800268842,0.0114031937555818,0.016046085917993,0.00287600674129206,0.0448793453450643,0.0346595003528987,0.0267266661361024,0.0155801137064955,0.0037961829188597,NA,NA,NA,NA,NA,0.0357173944631626,0.342286193233568,0.91317272025979,NA,NA,NA,0.00321032675355554,0.00107396863935243,3.3300630292087e-07,0.000456708226028841,0.000294070390741569,NA,NA,NA,0.00556800247343264,0.00256616508778079,0.000747401661973746,0.000474455562735763,0.000314666582624808,NA,NA,NA,1.63109652449427e-05,4.64744594445554e-07,4.23129725212968e-07,0.00175864485767985,0.0701071954905331,NA,NA,NA,NA,NA,NA,NA,NA,0.0183548498304265,0.000255877044018488,0.00261710605704621,0.00116127670292189,4.37171515043535e-05,0.0147284759292041,0.000732912905715703,0.00083206841118364,0.000751041970138649,4.24598788572482e-05,0.0326299204130211,0.0291394652291512,0.0174354906816517,0.00113000311222459,4.95803552321531e-05,NA,NA,NA,NA,NA,0.0143889449803209,0.148683748156163,1.11547180027423,NA,NA,NA,0.0202807064739278,0.00699980361484882,6.80764029551905e-05,0.00306264701824618,0.00198632296594456,NA,NA,NA,0.0344797767976347,0.0164409816052864,0.00493694066526196,0.0032003268507167,0.00213904322715905,NA,NA,NA,0.000236210302265155,8.65972490453621e-05,8.40779452097991e-05,0.00899946681322824,0.353399720925299,NA,NA,NA,NA,NA,NA,NA,NA,0.0517326046315832,0.0177407374765517,0.0369645123018951,0.0658647365754513,0.0292992914990227,0.0463048576223633,0.019958074409905,0.0276282800675678,0.0486274397360119,0.0252521280852442,0.0577059070414045,0.0403695483828235,0.0359954627423256,0.0373547574364579,0.0357282688135959,NA,NA,NA,NA,NA,0.092022159052813,0.848770444177481
"4","chiapas",1.16821217005172,0.00273584282720693,0.000545243786989551,0.00153485784090573,0.00827851061315232,0.000574300078945261,0.00219284792712521,0.00468614828980025,0.0137298298590652,0.00837741262796435,0.0190083499969217,0.0575952165330027,0.0899530117616793,0.00769228721540713,0.000132996936702462,0.000437768440119797,0.00275464293798161,0.00213498493416084,0.000126212022313509,0.0023559872722109,0.013250909500468,0.0010684233352942,0.0013751506407075,0.0060689168524037,0.0238513899215345,3.11824851316321e-06,3.0528450983097e-06,0.000135280216865573,4.16832624178929e-05,2.94151436665587e-06,0.000280566606089191,0.00228724256516606,0.00805682646438229,0.026600724146721,0.00845238476602384,0.00733526202960936,0.00156704885814758,0.00182262292537111,0.0575484801925075,0.0199092781968756,0.0086900670616119,0.00147968264621592,0.00155552202565228,0.0223719568652934,0.00929681315787733,0.00899019636142388,0.00151962433643092,0.00179313356774815,0.00739501509895287,0.00617741212788741,0.0166917358961733,0.00157984712791419,0.00176675084722407,0.032400045223599,0.11729619298663,1.10948162150027,0.0020906263578473,0.000395160152306383,0.00116525455251932,0.00642594526575493,0.000427996662040805,0.00169552199864637,0.00365371233110108,0.0107315856957299,0.00618442985091772,0.0140274250313293,0.0424014868172915,0.0652603524816737,0.00545631450873983,7.11979037612785e-05,0.000283687906590237,0.00194209056260986,0.00163330428723214,7.90547559469972e-05,0.00180507316756141,0.0103199666817586,0.000814357990787741,0.00105682872783795,0.00473085653625237,0.0186201627260805,1.04926765250671e-07,1.10793242192253e-07,8.65080920837855e-05,1.997845627506e-05,1.10619715748117e-07,0.000198939326480078,0.00176062630947591,0.00625171020648728,0.0184396975167227,0.00126552266960291,0.000368502630871232,3.14328237679982e-05,3.04902706105628e-05,0.0525164537656152,0.0155874874716007,0.00203409708970601,2.94256860517348e-05,2.48144311524336e-05,0.014587042901599,0.00175495943997448,0.000490831132593354,3.05891610355716e-05,2.77944777995286e-05,0.000596486672801344,0.000338357747553485,0.00117880760931018,2.9043392542333e-05,2.60339022066508e-05,0.0253470471455003,0.0941131834409659,1.23061152417939,0.00343829886808766,0.000724269909679894,0.00193457983399194,0.0101330917734256,0.000744482749562874,0.00270534008316317,0.00572643766386052,0.0167039102459822,0.0107482386387029,0.0243055387573077,0.0738732425796377,0.117127410440335,0.0103488401961146,0.000230606531168801,0.000644426499175932,0.00373047597876167,0.00268275849272371,0.000193412093683776,0.00293578688851091,0.0161926467679122,0.00134455664456129,0.00171459428867695,0.00738292533192381,0.0289417787434376,1.71356436424319e-05,1.69342970498375e-05,0.000203212897426258,7.66006745468719e-05,1.55319539452804e-05,0.000380719779461151,0.00283433473856255,0.00987006030315807,0.0343469990758561,0.0162953273919364,0.0223963606171044,0.0100661501410687,0.0142899512489144,0.062874205678689,0.0240446081550956,0.0156027141188859,0.00850268964128499,0.0104812804244068,0.0296800483095879,0.0167683626343611,0.0240893493869502,0.00962867523192527,0.013547098200409,0.0173215234568963,0.0169048343465437,0.0341922260382647,0.0101330572295645,0.0136242523567545,0.0438488058635755,0.152914809316364
"5","coahuila",0.903706858188404,NA,0.0363282766487231,0.00910223758794268,0.00201919999882627,0.000302150112945047,0.0193497916524063,0.000290009647035899,0.000322849936359596,NA,0.0126380861685359,0.00195534070460649,0.00143239374326464,0.0366578877114755,0.00173698530129482,0.0118212400187349,0.000656511793515214,NA,1.2537308364269e-05,1.14719815991065e-05,1.13795249677367e-05,1.11633752588727e-05,0.000339399685585228,0.012962131978009,0.00428870202496634,NA,NA,NA,NA,NA,NA,NA,NA,0.00623926339189564,0.0281575257550298,0.0224353948744303,0.0151101293901939,0.0127649785531513,0.00812947889737528,0.0244285462114867,0.0178103623634533,0.0112173889181927,0.00840587301010619,0.0115443205936714,0.0230661628863752,0.0287326219021441,0.00914351153650789,0.00861978377508634,NA,NA,NA,NA,NA,0.000124499442569292,0.102282552552748,0.823057262438857,NA,0.0232340139680484,0.00572882324800934,0.00123449702771165,0.000151762849084276,0.0123005290763149,0.000146308605123138,0.000168873994954715,NA,0.00789561631699641,0.00119221555447761,0.000867033654888623,0.0231221588266988,0.001040354437071,0.00733675749509113,0.000371389977600678,NA,4.26515916166392e-07,4.02577687840909e-07,3.76975375429813e-07,3.35045800922983e-07,0.000185998231721106,0.00859297143697996,0.00281364498551021,NA,NA,NA,NA,NA,NA,NA,NA,0.000321008886161623,0.014852829413417,0.00843666240939703,0.000618277462715385,0.000281731055939991,0.00124311008078084,0.00752745598829802,0.00258648881587371,0.000498258147283867,0.000207398819045698,0.00619131862164247,0.0127648106342,0.0128485556347066,0.000313077920297573,0.000183020609066895,NA,NA,NA,NA,NA,4.69790130463363e-06,0.0779233705857815,0.992033225902251,NA,0.0590141990451975,0.0151645392993432,0.00344124745347471,0.000591833984440361,0.0319616272192213,0.00056861463775543,0.000614556205982305,NA,0.0193128094713543,0.00307576399738799,0.0022796608042583,0.0556208181569891,0.0028017436945544,0.018268862046309,0.00110301636203137,NA,7.22685220467189e-05,6.47713567622511e-05,6.47880408830536e-05,6.48501029631787e-05,0.000580793658966585,0.0184730792627072,0.006157303847777,NA,NA,NA,NA,NA,NA,NA,NA,0.0155413826399618,0.0438106368353065,0.0387078010034619,0.0389192909895052,0.0615807437533569,0.0153887269850808,0.0390245990537398,0.0306008526884143,0.032529995394736,0.0443719998181613,0.0160359885561508,0.0341870149980009,0.0450062793496705,0.0374405569418607,0.0614124496627892,NA,NA,NA,NA,NA,0.000674226760690167,0.135161563412618
"6","colima",1.11669609569956,NA,NA,0.0309602800129536,0.0692300939550256,0.0117319438789027,0.00291990742933785,0.00134648284783077,0.0616179320469779,NA,NA,0.0135481548659044,0.0357060706546371,0.0513488829976186,0.0244514053466741,0.031695643998327,0.0317450463790965,NA,NA,2.89693711824001e-05,2.79588335649316e-05,2.74007138658183e-05,2.70177553021587e-05,2.66898502681323e-05,0.0223359253318697,NA,NA,NA,NA,NA,NA,NA,NA,0.0482346510122272,0.00696630304233578,0.0256245845869277,0.00340792649476908,0.00235066030509966,0.036472343967781,0.0056464307003926,0.0240870645836127,0.00255101857650528,0.00213827119884949,0.0332291688363197,0.0257413594900644,0.0418141543302708,0.00396717841966038,0.00307116013871762,NA,NA,NA,NA,NA,0.0289534577413947,0.14945952773229,0.984656062123377,NA,NA,0.0174451054978404,0.0387605866007235,0.00637882964783248,0.00152147905579389,0.0006696243231039,0.034011310841008,NA,NA,0.00756881429451935,0.0200553230950719,0.0287645617893121,0.0132953048732938,0.0171129790953171,0.0168454469941463,NA,NA,1.03361886023981e-06,9.52130597316275e-07,9.07261545235088e-07,9.83923110181753e-07,1.03765816272145e-06,0.013552202997148,NA,NA,NA,NA,NA,NA,NA,NA,0.0378552524933126,0.000721523166465977,0.0107850467572602,6.32282250554296e-05,3.92892814710793e-05,0.0234586685466778,0.00041150019434235,0.0064446400901367,5.38376785178893e-05,3.8158874194523e-05,0.0143174963792323,0.00848004168515818,0.013700332844546,6.38760715757742e-05,4.04337593402722e-05,NA,NA,NA,NA,NA,0.0175864282228669,0.101521844156889,1.26475393946089,NA,NA,0.0456290410017444,0.10266499241044,0.0181803710886497,0.00477964572156386,0.00234727111074364,0.091790284817965,NA,NA,0.0203184980490591,0.0526681641981794,0.0759153926097989,0.0370804646932694,0.0485335317671575,0.0496266865615589,NA,NA,0.000164969185075102,0.000161901383423163,0.000157733979205541,0.000155960466018693,0.000148797437850496,0.0321109081212324,NA,NA,NA,NA,NA,NA,NA,NA,0.0588473196810053,0.0147161307627873,0.0405553268696495,0.018780210407059,0.0181471410160821,0.0490144385196918,0.0134859155068187,0.0384343589044786,0.014170931317188,0.0160780243984191,0.0534559388282735,0.0423385046925105,0.0712683788110876,0.0329213641809073,0.0393989585106587,NA,NA,NA,NA,NA,0.0575662619380383,0.260639043370064
"7","guanajuato",0.907936386987935,0.000242613477504837,0.0707496903139059,0.00122645362637137,0.00510016568350204,0.00223934355408529,0.000200237333706472,NA,NA,1.61422704912385e-06,8.77994891494145e-06,9.98023323269285e-06,0.00163101596785246,0.000214919778602711,9.77712835912009e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021826199086063,0.0437025335511293,0.0364802925910506,0.0415716115030199,0.00701829858765816,0.0157483358053718,0.027523032283207,0.0582885177258862,0.0162947495634363,0.0183002709125201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00893980062375426,0.322227832128606,0.843582058661305,8.26418456341537e-05,0.0246985200241217,0.000406447377519741,0.00169106903050257,0.00074659533588222,6.47617832664059e-05,NA,NA,5.76934004736007e-08,2.3473072791351e-06,3.01270813199688e-06,0.000902154645743656,0.000115170591092615,2.98400611399082e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0149513359306988,0.0343948563711777,0.0261609028004594,0.0282206767863864,0.000178139150084702,0.00940155900672704,0.0182476316955055,0.0411745484650285,0.000658118696445319,0.000207181974593055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00396976809113081,0.189884442554352,0.972680835158525,0.000555731268800154,0.154646208861661,0.00298553502002561,0.0123412405229576,0.00546092473055629,0.000509231453121977,NA,NA,9.77300524349924e-06,2.51827138539296e-05,2.62030861790285e-05,0.00268297161329147,0.000365480260547269,2.55649941446352e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030949206394349,0.0547294220061854,0.049818654004125,0.0522224340852969,0.0264451965833051,0.0228795435014205,0.0391604468376744,0.074364900381128,0.0558694541963699,0.249531017998001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0259855343522708,0.69897205850187
"8","guerrero",1.29430140038796,0.183694270932199,0.0404189521714587,0.0294501527830638,0.101593758011792,0.0377832152922115,0.012730101198228,0.0678794510179205,0.247595098254758,0.00360916650346574,1.27829619163257e-05,0.0065363105127506,0.1196724080528,0.0957538552454051,0.0265814123996705,0.0165773678294351,0.121333497238946,0.00177420846003053,0.000260714737909533,1.22864825986376e-05,0.000484015142472645,1.24115878802935e-05,1.25873253858637e-05,0.00230257547441768,0.125813235967691,0.0242721926978974,2.03305001373852e-05,2.04351329670385e-05,1.88219902194433e-05,1.67164144196058e-05,1.6313180854204e-05,1.63871872078029e-05,0.00117021483546854,0.0236129476297065,0.0222719812087859,0.0137901698290531,0.00600569290202655,0.00202826872364935,0.0100044336665496,0.00193278261389544,0.00410348919524082,0.00495505663919514,0.00191051432744325,0.0018066538404122,0.00762352856175971,0.00569806193988473,0.00560579171227571,0.00195569868267771,0.0335897854625225,0.032515835713672,0.0139992479138025,0.0077479637544553,0.00257128918615538,0.00169801633163816,0.0452198873049091,1.23042217411178,0.168822385469692,0.0362698740584029,0.0261954309525007,0.091339751732268,0.0332167154676746,0.0108651196278454,0.0595539544290513,0.216573625514495,0.00304338024700332,4.68409148563157e-07,0.00569524869615776,0.109064366977753,0.0855407285797656,0.0232802465054205,0.0143764774629964,0.106386813867037,0.00142462582674782,0.000148940389628515,4.47741900168136e-07,0.000324747350946842,4.77028273454782e-07,4.3374534349277e-07,0.0018753470562061,0.112947607287053,0.0182159804632551,7.26189376442673e-07,6.86069315530332e-07,6.83267415492823e-07,6.41391916234832e-07,5.61550275499006e-07,6.14144408230289e-07,0.000841943371830761,0.0188513982966639,0.013684309918497,0.00490380686125239,0.000308983728138804,3.36407521726963e-05,0.00505487108200113,8.20710901880145e-05,0.000189711840181641,0.000212586553486665,3.89431931782114e-05,7.78966470486101e-05,0.000395468820036792,0.000251239532581529,0.000226903936686349,3.43435778685658e-05,0.0249790241529936,0.0178977409329594,0.0013237338081806,0.000278913218708819,4.0615675746472e-05,0.00127219385491213,0.0406489849230509,1.36106709422237,0.198747037266254,0.0447734843400947,0.0329604185570277,0.112346630254651,0.0426446790626174,0.0147985677094765,0.0763061673025845,0.279369490593719,0.00425843530344343,6.90340648566476e-05,0.00746527802498632,0.130868397350717,0.106643287031904,0.030238854562066,0.0190740972789423,0.137876919870821,0.00219148044760234,0.000420456770939118,6.59592277910299e-05,0.000694253748463656,6.64162892357296e-05,6.73780423848375e-05,0.0028128372728875,0.140322736560542,0.0322529463390318,0.000112914061537976,0.000109966976052694,0.000101702142320333,8.90192513785895e-05,8.61617648549624e-05,8.59869523582418e-05,0.00159243757579592,0.0285656753537639,0.0312737579357739,0.0217408872911709,0.0172021479508742,0.0128596949490606,0.0152958367587,0.00735509054982462,0.0130041384797987,0.0170204412612636,0.0126083966970736,0.00714706729569884,0.0191098354609137,0.0177465650542586,0.0191404354301571,0.0137501949108923,0.0417638223766308,0.0447155809540836,0.0289022842474727,0.030254793731329,0.0252424513916247,0.00219381265248196,0.0502023452332846
"9","hidalgo",1.06875117500485,NA,NA,NA,NA,NA,NA,NA,0.00100371133425012,NA,NA,NA,NA,NA,NA,NA,0.000853041162033687,NA,NA,NA,NA,NA,NA,NA,0.001217435128063,NA,NA,NA,NA,NA,NA,NA,NA,0.0203019282810441,0.0166493891214836,0.0195761701154691,0.00575668105777619,0.0199222011818005,0.021648594669577,0.0167691231952364,0.0196804997879357,0.00560422115625979,0.0186614146850036,0.016898743608238,0.0149199731935972,0.0190949460295235,0.0054872421728601,0.0194250749945524,NA,NA,NA,NA,NA,0.00699647341712495,0.404154275973136,0.757085798949791,NA,NA,NA,NA,NA,NA,NA,0.000333170045635772,NA,NA,NA,NA,NA,NA,NA,0.000277086671187146,NA,NA,NA,NA,NA,NA,NA,0.000427442806666976,NA,NA,NA,NA,NA,NA,NA,NA,0.00164575259983104,0.000787559210205849,0.0011867397680207,8.99611644662422e-05,0.000347453497092435,0.00198888583204475,0.000706201548530818,0.00116408569616851,9.30497155984273e-05,0.000349232766317134,0.00120367031362559,0.000635180288299099,0.00128730085576036,9.27330597921647e-05,0.000373322503115093,NA,NA,NA,NA,NA,0.000127177605494911,0.0209380154075776,1.45591570994548,NA,NA,NA,NA,NA,NA,NA,0.0197563239620012,NA,NA,NA,NA,NA,NA,NA,0.0169707720430272,NA,NA,NA,NA,NA,NA,NA,0.0248144652674085,NA,NA,NA,NA,NA,NA,NA,NA,0.0529121930918013,0.0474400825500323,0.0505518552843789,0.0433171328886279,0.277339105008185,0.0560183865195368,0.0499962753882935,0.051843452068618,0.0415029356231307,0.254454347642826,0.0477406636071269,0.044325252456456,0.0466315869868498,0.0391016666855659,0.233222758686671,NA,NA,NA,NA,NA,0.053871744392282,0.926304700648693
"10","jalisco",1.13980633871087,0.00686014343555866,0.00496746870311779,0.0044416390175602,0.00821483550948583,0.000450118947515095,1.89657699023885e-05,6.30176810121233e-05,0.000671630704447883,0.000145890010329305,6.41203708051791e-05,0.00186292592564322,0.0300143522332064,0.00811106135227269,0.000758776286473319,0.000282271715674841,0.000278620897274014,6.97269709100994e-07,6.82138428235388e-07,6.84763692429443e-07,1.00645621200092e-05,5.98966097574861e-07,5.87535146321233e-07,5.82795522668647e-07,0.000632565863304041,NA,NA,NA,NA,NA,NA,NA,NA,0.00252227146031155,0.0135930046650164,0.0199455890475747,0.0188914382128619,0.00057883045107654,0.00483709734118705,0.0145526832695947,0.0150844335107319,0.00314579687998393,0.000489117667572039,0.0220923919281827,0.00177676361256012,0.073097842133797,0.00460357148904196,0.000811238646880451,NA,NA,NA,NA,NA,0.0749774550516161,0.775105896432866,1.10780272709314,0.00579165399177652,0.00419145222772131,0.00374116138995617,0.00693553298056372,0.000375419913829915,1.28371679074975e-05,4.89305486820166e-05,0.000563968813288485,0.000118821997524974,5.00408704697372e-05,0.00159641911880476,0.0258494228793835,0.00695886004171324,0.000644453275496391,0.000235109446580962,0.000231930959293369,2.75655865289903e-08,2.4760227585516e-08,2.29881758746077e-08,5.0412772299946e-06,2.10307729294804e-08,2.19489668316073e-08,2.17491848089622e-08,0.000530811107717051,NA,NA,NA,NA,NA,NA,NA,NA,0.000564581041773048,0.0107242001118242,0.0141282628869361,0.0114221229667114,9.45491840399761e-06,0.00279913799395308,0.0116530027714403,0.00831559691261699,0.000154526319560909,8.38432530848243e-06,0.0195345211607691,0.000103561861963899,0.0604284398793821,0.000172569416250773,9.13746953666302e-06,NA,NA,NA,NA,NA,0.0567627064717743,0.596557938165117,1.17252893911348,0.00901344966328368,0.00654713114333759,0.00586433785772951,0.0108504794852903,0.000594030858140854,2.81296802654725e-05,8.61640167923345e-05,0.000881736259423686,0.000190180911911649,8.62293053565373e-05,0.00237917350663362,0.0382037543972535,0.01040346234755,0.000978362632173227,0.000366480050027171,0.000362103615551572,3.85215651689007e-06,3.79671611378827e-06,3.67755671516765e-06,1.83173663210976e-05,3.17265956110615e-06,3.1575287123215e-06,3.10308629092555e-06,0.000825381690143609,NA,NA,NA,NA,NA,NA,NA,NA,0.00457951355591407,0.0165043348993318,0.0258709848675713,0.024339289488264,0.0044629006955293,0.00692570910214213,0.0173545590336996,0.021136247717314,0.00969293635145013,0.00351770790954872,0.0250129181677197,0.00502843643464405,0.0865113561908449,0.022864704301141,0.0123624153330405,NA,NA,NA,NA,NA,0.0902464437150399,0.87656667812814
