"","State","chi_med","gamma_med","lam_H_1_med","lam_H_2_med","lam_H_3_med","lam_H_4_med","lam_H_5_med","lam_T1_med","lam_T2_med","lam_T3_med","lam_T4_med","lam_T5_med","lam_T6_med","lam_T7_med","lam_T8_med","rho_med","chi_CrI_L","gamma_CrI_L","lam_H_1_CrI_L","lam_H_2_CrI_L","lam_H_3_CrI_L","lam_H_4_CrI_L","lam_H_5_CrI_L","lam_T1_CrI_L","lam_T2_CrI_L","lam_T3_CrI_L","lam_T4_CrI_L","lam_T5_CrI_L","lam_T6_CrI_L","lam_T7_CrI_L","lam_T8_CrI_L","rho_CrI_L","chi_CrI_U","gamma_CrI_U","lam_H_1_CrI_U","lam_H_2_CrI_U","lam_H_3_CrI_U","lam_H_4_CrI_U","lam_H_5_CrI_U","lam_T1_CrI_U","lam_T2_CrI_U","lam_T3_CrI_U","lam_T4_CrI_U","lam_T5_CrI_U","lam_T6_CrI_U","lam_T7_CrI_U","lam_T8_CrI_U","rho_CrI_U"
"1","aguascalientes",1.33517889070875,2.10636972576569e-05,0.00740292727532794,0.0223326065082457,0.0055985894359905,0.00683712126512551,0.028256680960287,0.00583238031620977,0.00579946140398464,0.00130351402339799,0.0162365054677953,0.00315961337996492,0.000322603836353776,0.00171719242953289,0.231872605230363,0.00167994187945535,0.985792824536334,8.13158359736175e-07,0.0036498803012035,0.0081168628548011,0.000286212885525456,0.000300761339255468,0.000924960112237999,0.00294330520120919,0.00292091592761791,0.000294235282262757,0.0102492033968404,0.00129065751984229,1.12142459010754e-05,0.000505218178367919,0.170994070845518,0.00136747852555054,1.7682813101691,9.08064061450718e-05,0.0147136387105214,0.0332096955533968,0.0168380779019591,0.0255545280554685,0.225680030053958,0.0104446627248874,0.0103952784596952,0.00360547983503729,0.0240830697506457,0.00638161928291833,0.00174784539666574,0.0040852103005856,0.249305208466775,0.00235167321845232
"2","baja california sur",1.04497926961723,0.00318706735668321,0.0051714426350401,0.0130065801696891,0.00661663894588181,0.00801754568458172,0.00286407583668188,0.0600489374571315,0.0134114071749986,0.0492218863770345,0.0124466069643692,0.00337759312993521,0.00147155321861669,0.00739462078756556,0.0600222339703305,0.023771966546084,0.902311858866995,0.00209649031840312,0.00323925202433329,0.00713278233686563,0.00180479667447835,0.000972048463458246,0.000113122985363197,0.042482874550062,0.00947714417700501,0.0351629141242816,0.00863060915121378,0.00221090482871556,0.000892236335074456,0.00502715225925539,0.0418116640473172,0.0151678602363825,1.19777319469586,0.00461827529458993,0.00792339585171026,0.0185019779988659,0.0117859352808308,0.0161926720311408,0.0128321893984971,0.0886187957815058,0.0197677508297834,0.0725447224120938,0.019469724525315,0.00549344105081031,0.00252533038146197,0.0117535714880007,0.0947605324252569,0.0355972650252115
"3","campeche",1.17799205569068,0.00299710440056563,0.00476534393502817,0.0205720007643637,0.0128721724063009,0.0113867385133297,0.00761250384623402,0.108054847123296,0.0129639594341231,0.00693591735576264,0.0441162045716605,0.0186291015721948,0.00398057349558974,0.0117616993838178,0.246807528174938,0.0338074012232292,1.12773058005991,0.00241622482719985,0.00369323868562535,0.0188289036338153,0.0103209293555201,0.00284216943081568,0.000460159366899867,0.10194942411618,0.0118039614209256,0.00611948717740847,0.04160679551627,0.0171251186918375,0.0033451316636523,0.0106017468760548,0.235044009754811,0.0323853628116825,1.22977259213006,0.00360089315034456,0.00601488486791273,0.0223238446441588,0.0154235017630205,0.0180454462406291,0.025580499094967,0.113996341900056,0.0141704748098979,0.00781801701301281,0.0465615268317747,0.0201767078144698,0.00468955350514499,0.0129517784945517,0.249883972674004,0.035660040241044
"4","chiapas",1.1679160019067,0.232074294971043,0.0290078119230399,0.00997662617119013,0.0109563253018322,0.00203470075709045,0.00234226970430233,0.000473669484974252,0.000580739756300872,0.0018356690829062,0.00348314532577196,0.000276605572316806,0.000191579262934327,0.000646564365675115,0.00226895209704246,0.695662651564991,1.11136091694385,0.152461299325579,0.0272263144221616,0.00877152204232998,0.00939381550190317,0.000118639004453159,9.94835621040443e-05,0.000382701848527891,0.000469754773036817,0.00149446307125025,0.00283107307807488,0.000222075616918575,0.000152942303539662,0.0005230508602822,0.00184192770969256,0.460619559165037,1.22588013604055,0.291901749976297,0.0307850776922533,0.0112252543883788,0.0125119025372063,0.00524044261059954,0.00700093295175961,0.000714950899481161,0.000875267708332787,0.0027649737839753,0.005249036766807,0.000418625293543911,0.00028984466413866,0.000974031259540504,0.00341707511948976,0.855430225370204
"5","coahuila",0.923548440082889,8.65721170864055e-05,0.00642799959981024,0.0188607005783187,0.0145210843177372,0.00881625735360476,0.00982926586285188,0.00529044363285927,0.0116410593212121,0.00252972447512219,0.00079540220806091,0.00883135261727957,0.00490728594819398,0.00585654484456577,0.00137906899050651,0.105322638748738,0.847782282296544,3.53364836887703e-06,0.00574067762724002,0.0159003287549371,0.0115116023772025,0.0014150993587744,0.000822395533240347,0.00422794869883947,0.00936290606135283,0.0020314852499179,0.000624186407653882,0.00716299678348034,0.00397361941948584,0.00476204220651993,0.00110187041755882,0.0857816277193833,1.00395049739023,0.000480894071309518,0.00725081334594932,0.0215205828108383,0.0176601002170856,0.0159148252923473,0.0253172604564984,0.00647898281031871,0.0141833049027026,0.00309822832141577,0.000999423547661496,0.0106709942074452,0.00594071758913428,0.00708904560056292,0.00170149304363386,0.131701204977101
"6","colima",1.24168438142053,0.00881891467117014,0.00619659468435634,0.0140128798877215,0.0172330007705368,0.00414855544206161,0.0042566552091392,0.132534177830375,0.0209235989450427,0.0200194443665347,0.0479334244642802,0.0325676916641497,0.0144330881611657,0.0177090789195029,0.0606357548641824,0.0496412690248311,1.15190566127574,0.00722774466691263,0.00424342686678441,0.0111019917271204,0.0148527554453441,0.00032459713249054,0.0001925432829589,0.113875131002751,0.0174245989062349,0.0165087165228346,0.0393245466657133,0.0260530018158121,0.0112784994508808,0.0137580343171562,0.0469988976345113,0.0435921026355528,1.33835361331555,0.0108507982737756,0.00859596176634215,0.0172742834332083,0.0195739139813208,0.00913026512037392,0.011981118657106,0.148283542791209,0.0242744494758002,0.0234213613711195,0.0560991509084647,0.0390515540870083,0.0177538042437435,0.0218675767316171,0.0749238577019588,0.0595329042299595
"7","durango",0.812510258357025,0.000242946446211215,0.00704615770678119,0.00463603314848035,0.0252869677185521,0.010168609160805,0.00673171426016939,0.0179263130226555,0.00685342283493089,0.000264865986113665,0.000846797367984776,0.00165947334511131,0.000108950530378435,2.26381324731846e-05,0.000416274771054232,0.073612035485504,0.696263331852339,1.00160856820691e-05,0.00583819323965237,0.000936478655241114,0.0165212737579059,0.0012529773151357,0.000303361285421962,0.010257732732777,0.00398059344449896,0.000139762443121319,0.0004865856961643,0.000970853707298555,5.03718070440889e-05,4.78654064405154e-06,0.000230017168454475,0.046398771849924,0.945230790607235,0.0012587858508148,0.00872172349133642,0.0108791850713299,0.0328669517566117,0.0200802986936786,0.024289449611444,0.028032761973338,0.0105715689110842,0.00045783577853007,0.00135592062489876,0.0025718679249547,0.000211940177653448,6.93489233430003e-05,0.000690262782251363,0.129186968315714
"8","guanajuato",0.908502280734763,0.00888007191335065,0.00840437855234327,0.0161795649972417,0.0104716145952014,0.0173094274596354,0.00257215074416693,6.72947010288706e-05,0.0193512200406049,0.000304735585809709,0.00200212512759153,0.00065159553775777,5.3670961458644e-05,1.56008493196106e-05,0.00263125313417615,0.17300680483811,0.855434273816505,0.0063264641689067,0.00761716140463938,0.0138549827143664,0.00830896360182916,0.0125859394459634,0.000104772500611786,4.50925036051453e-05,0.0141401125848457,0.000220283767770115,0.00147158192512071,0.000477283850536479,3.59294182335895e-05,8.60586866184163e-06,0.00193284339258994,0.132645242244056,0.963413758081907,0.0130554177311358,0.00930389842433362,0.0184292197983149,0.0126584705321754,0.0210119813832075,0.00901307821656205,9.5646331827343e-05,0.0250986984278786,0.000403648661723307,0.00258667164933583,0.000846430452686118,7.76329209617739e-05,2.64229826103151e-05,0.00338344126738857,0.237264038245035
"9","guerrero",1.28455618081489,0.000264716585871595,0.0150889953237974,0.0137856605936255,0.0097253917268645,0.00772598179263473,0.00259159342745698,0.0510055880198584,0.00796910480356072,0.00759207520747053,0.0564630830002588,0.0338171976000402,0.00925364082987932,0.0169702371788574,0.115478894935787,0.0467916943509245,1.22633381954752,1.69821530214125e-05,0.0135897597045269,0.0122770901587574,0.00827184245702101,0.00360927323355481,0.000135369267581816,0.0479100694159222,0.00736525738626236,0.00701546220060265,0.0533044851474139,0.0316569723556028,0.00855104951662656,0.0157578506258415,0.107683056150082,0.0443788172334758,1.34383180441004,0.000725103368970135,0.0166718252871042,0.0153553680835848,0.0112064137281213,0.0106224413182454,0.0085694544762918,0.0540905293398928,0.00858578021788581,0.00818663409787726,0.0595750326654044,0.0358876647932919,0.00998863450575964,0.0181995366043072,0.123095370334047,0.0494078526315914
"10","hidalgo",1.04422682881792,0.00215949476434425,0.0136389780598557,0.0142785558954908,0.00700263260979414,0.00454749604871157,0.00758388576325229,0.00150664481232143,0.00495223437372072,0.00199227571256463,0.0205830630959043,0.0119315695713757,0.000388017229333772,0.000190880774831081,0.00864255501674183,0.0326418469681606,0.896734539242171,0.00113048243464954,0.0105116426164316,0.009162625198154,0.00315734811238294,0.000208295707545083,0.000415151999528366,0.000899314910007231,0.00301360161205694,0.00119292106954498,0.0126123128915047,0.00728703540421363,0.00022172354317287,9.94215246946652e-05,0.00529744838910368,0.0222043117061857,1.20034217047427,0.00421516897046023,0.0177726970620464,0.0193469531538581,0.0109460925646085,0.0122237865866198,0.0208341135684031,0.00231750070671686,0.00741071374150903,0.00301196214245824,0.030233822781138,0.0175956587088714,0.00063574528451672,0.000338647702033705,0.0127309279972798,0.0528707457052737
