"","State","chi_med","gamma_med","lam_H_1_med","lam_H_2_med","lam_H_3_med","lam_H_4_med","lam_H_5_med","lam_T1_med","lam_T2_med","lam_T3_med","lam_T4_med","lam_T5_med","lam_T6_med","lam_T7_med","lam_T8_med","rho_med","chi_CrI_L","gamma_CrI_L","lam_H_1_CrI_L","lam_H_2_CrI_L","lam_H_3_CrI_L","lam_H_4_CrI_L","lam_H_5_CrI_L","lam_T1_CrI_L","lam_T2_CrI_L","lam_T3_CrI_L","lam_T4_CrI_L","lam_T5_CrI_L","lam_T6_CrI_L","lam_T7_CrI_L","lam_T8_CrI_L","rho_CrI_L","chi_CrI_U","gamma_CrI_U","lam_H_1_CrI_U","lam_H_2_CrI_U","lam_H_3_CrI_U","lam_H_4_CrI_U","lam_H_5_CrI_U","lam_T1_CrI_U","lam_T2_CrI_U","lam_T3_CrI_U","lam_T4_CrI_U","lam_T5_CrI_U","lam_T6_CrI_U","lam_T7_CrI_U","lam_T8_CrI_U","rho_CrI_U"
"11","jalisco",1.03985940331027,0.0874807566593805,0.00962933184192199,0.0102393494677271,0.0102489096116579,0.0107402642192457,0.000310401546708447,0.00166455992743267,0.0011833019595057,0.00145829822623877,0.00866822374197438,0.00186482801836346,0.000167296284511199,7.71096015437483e-05,0.000304881028197643,0.946533897659183,1.01321482208614,0.0796529474988053,0.0091652336200294,0.00896646103180558,0.00915187395237294,0.00938256198562479,1.47013243637593e-05,0.00159339735524637,0.00113134164756886,0.00139553316754786,0.00831542322137693,0.00178604113746636,0.000156490612323785,7.05788892506162e-05,0.00028809978351757,0.89891373801741,1.06708034949944,0.0958201889776708,0.0101337172571748,0.0114679414858003,0.0114070648556824,0.0120050284388286,0.0015382270984311,0.0017595687910934,0.00125298570213621,0.00154363801159475,0.00915942544936652,0.00197212111006687,0.000179773777742709,8.42592663580562e-05,0.000324783901721113,0.977287367137731
"12","mexico",1.07212354096868,5.26102489747365e-06,0.0109881276520121,0.0149566967521275,0.00313406786350017,0.00639247902534326,0.00238576648038093,0.0291642088502549,0.0291458550519727,0.00989909816085936,0.0138847412727132,0.0150822045830897,0.00951683986157076,0.0622301981244201,0.0624306352054931,0.00232768811102123,0.959705442114542,1.85605156341469e-07,0.00889646895770816,0.0112723096546922,0.00049338424780132,0.00102027055227919,8.91757102044763e-05,0.0247199614504924,0.0247468756818556,0.00822033584907987,0.0116092154789866,0.0126511361943328,0.00786795564167386,0.0525874733445823,0.0517273018813409,0.00197465959313927,1.18870869790787,2.62986613747514e-05,0.0136158530256376,0.0185554154749916,0.00621770349709889,0.0115084791850144,0.0103883755318432,0.0342849585385755,0.0342621670166391,0.0119116232536345,0.0166135992140406,0.0180342013395267,0.0115502755642756,0.0737415378154269,0.0757495462255147,0.00276233711026476
"13","michoacan",1.08526341880849,0.00201081289182305,0.00541712546581888,0.0148792577853675,0.0154353245235873,0.0187335374519232,0.00244583956353514,0.0270871950733424,0.00601426937064448,0.00518262298917741,0.0175272633491365,0.0442924110690198,0.00335914910474652,0.00198485885258139,0.00988723682831344,0.0372346849126422,1.01762892880747,0.00143285659465754,0.00471950912123409,0.0120062924205654,0.0127306160098439,0.0135218735906641,0.000103035797370678,0.0229410031923644,0.00509874640618762,0.0043852488824854,0.0150368325301686,0.0380986727978944,0.00283518065894025,0.00165449381418341,0.00843372488489546,0.0312557049551691,1.15734849449884,0.00272036250894103,0.00621112679660519,0.0175210380890769,0.0182372221285453,0.0228825576574933,0.00982606095229112,0.0319967765444779,0.00709851911849216,0.00610233451002758,0.0204030322932396,0.0516230407124691,0.0039882606854971,0.00238179761583957,0.0116390000299445,0.0441090799795704
"14","morelos",1.30959160231247,0.00849558727855479,0.00861338573955962,0.0146225103676514,0.0138570730004246,0.0129070484177213,0.00171440913352887,0.0205748575661444,0.00786881293329459,0.0031995249676888,0.0264954019909162,0.0072111394384899,0.00665908238920986,0.00507445635507428,0.0804158399916454,0.189798607800713,1.26268469868603,0.00673490626175806,0.00797051129145143,0.0131067928672658,0.0125237400826108,0.00951559513862787,7.13306410117272e-05,0.0186708501883595,0.00712737356363283,0.00287429336846428,0.0241938431507898,0.00656346573336126,0.00604988962660594,0.00459790372897677,0.0734431579984916,0.172825463971335,1.35913672066326,0.0104828260196104,0.00932723518884359,0.0161256270720659,0.0152279657790743,0.0152259780323633,0.00672527265886771,0.0226230466383609,0.00865418312250709,0.0035494598043388,0.0289501481418061,0.00792293269294636,0.00732314018243341,0.00559162141003881,0.0878587808719174,0.209148641079491
"15","nayarit",1.24188897383953,0.0185144637603481,0.00728436532738372,0.0151347673408319,0.015463765246992,0.00538173913362193,0.00297924490902152,0.00827859675730833,0.00618016529333969,0.0019837158229032,0.0162141404140303,0.0157263827333517,0.000959934153731418,0.000730625127613729,0.00369684739684469,0.313096819264867,1.16511127806557,0.0127716817576652,0.00649212024056546,0.012298711609633,0.013136336072024,0.000843103438243981,0.000128098749273944,0.00654976012777179,0.00491039340535059,0.00156660960163374,0.0129723287651751,0.0126278205717839,0.000760108436604945,0.000574556708036833,0.00296581958071415,0.25227196648979,1.32027295580528,0.0266474077982803,0.00829424986915134,0.0175838645106018,0.0180096566690762,0.00931657006140916,0.00952648773417304,0.0103170079510813,0.00768450042461551,0.0024786350549512,0.0199677560661153,0.0192813320447198,0.00120448264291142,0.000922305179141282,0.00454507264175732,0.393412623367028
"16","nuevo leon",1.05561934825171,0.00232591739342487,0.0117438268208579,0.00990267578921575,0.0100198334674251,0.0118225997585812,0.00253434804603537,0.00365648823626977,0.014558000653111,0.00770763546099659,0.00465048973039706,0.00818258419998236,0.000358433382870724,0.000215933040173005,0.000308904474635654,0.119336163320084,0.994927536794151,0.000909181541334765,0.0106785140442891,0.00741932157010121,0.00768847174338584,0.00696402179971361,0.000108815356313454,0.00276762822484845,0.0111027312790567,0.00589035063723924,0.00356745804810977,0.0062862337124046,0.000269556417697271,0.00015976738945299,0.0002311626375111,0.0963183408393489,1.11719860861436,0.00452618516373257,0.0129254018361842,0.0122202948232613,0.0125878812813633,0.015392727767301,0.0088919546621512,0.0045811914333642,0.0181470992856093,0.00956071967239121,0.00578817860097101,0.0101497964169023,0.00046146184848184,0.000281108500526168,0.000396984721592465,0.15486940795727
"17","oaxaca",1.30173608447301,0.107311688886479,0.0138707363336318,0.0146444534448294,0.0101652693515904,0.0118982604446342,0.00170030501955577,0.000766720165280013,0.000512543864029399,0.0013464593482855,0.00473488293818934,0.000919431016628192,0.001019281135078,0.0013746738245308,0.00645365822745651,0.680328362174935,1.24761059891132,0.0822445126533296,0.0126919118809036,0.0130490340184087,0.00876816560716321,0.00850814964161706,6.93169926306566e-05,0.000670813311115315,0.000445269988902487,0.00117918479880448,0.00416055987197087,0.000802904934654883,0.000891258546129255,0.00120341989212344,0.00566425984646101,0.535847881740903,1.35711913791874,0.127695470762047,0.0150963891841255,0.016339669394661,0.0115135643759234,0.0143122050304062,0.00669183141920481,0.000980645940407585,0.000654815989800771,0.00171428101166542,0.00603076970177796,0.00117145175376111,0.00130182811386236,0.00174636349521961,0.00820281897815625,0.769783480839737
"18","puebla",1.36367387295632,0.000265274952861085,0.00814960944229884,0.0187460307608641,0.00813596997276,0.0139003555735354,0.00219252899770801,0.0105118709547066,0.0123687576563429,0.00317211106139093,0.0387762962285191,0.0209750859736196,0.0029775581843921,0.00318372907270287,0.043306313761846,0.0237972254494068,1.28394068680347,5.75751421841995e-05,0.00722885066337995,0.0161498138536053,0.00585320243216687,0.00864005679628041,8.00086664702219e-05,0.00906888725790506,0.0107343529372595,0.00271404299858869,0.0342333760015164,0.01846146488919,0.0025534726820872,0.00273556595472928,0.0381138585935707,0.0207819237940087,1.44707254350213,0.000535113260359497,0.0092463381255223,0.021198974116181,0.0105151832008285,0.0178668150782168,0.00959279647445023,0.0120839228435757,0.0141795105141374,0.00370262274703776,0.0438711083355244,0.0237068854946641,0.00346548766350046,0.00370684083217884,0.0491353424467196,0.0273703326549749
"19","queretaro",0.795307030995758,4.3847979119956e-05,0.00865350403601898,0.0136685251122933,0.00509565135825013,0.0066954543150465,0.0145191342706691,0.0085303367387318,0.0311666020016117,0.00340639182801188,0.0180908126007685,0.0802205018621919,0.00122410349378589,0.00149699685180507,0.0244496422616764,0.00246274825144108,0.573662243016943,2.00173270081789e-06,0.00390587085609357,0.00298232838924427,0.00033527857122873,0.000322203537447768,0.000612934756485648,0.00426561202667661,0.0165680822848511,0.00160806220291536,0.00979173939804392,0.0444623282031463,0.000451919600670221,0.000605028352216681,0.0133230841699538,0.00121886624424247,1.08409052290011,0.000190371402724273,0.0169366798448555,0.0234020254550661,0.013985859875701,0.0220465878154634,0.12703023645366,0.0180595584549329,0.0604793040480695,0.00722468777744202,0.0341201261608999,0.149913565256846,0.00319902231794362,0.00374899301706334,0.0512918488192922,0.00468518481126602
"20","quintana roo",1.06782065755618,0.0264940398901312,0.0194339999305645,0.0163737361898491,0.00695856033906334,0.00924247968132706,0.00159337497149488,0.00669410806417269,0.0017206340628076,0.00223219883022885,0.0236631551869695,0.00306064416541936,0.000436679403010207,0.00365332568628421,0.0438868137020786,0.217093167024493,1.01298663866299,0.0207155968532879,0.0180746238384074,0.0149949186981141,0.0052000491796185,0.00476930168121335,6.78125939071944e-05,0.00539599550724674,0.00137086267345026,0.00178203697088705,0.0191364258884176,0.00246296887889058,0.000338308977056885,0.00294043022139366,0.0354637739739177,0.181885751990053,1.12452541500328,0.0349497846329328,0.0208423416582465,0.0178036535827262,0.0086738151844926,0.0132008562427082,0.0074561213249257,0.00806042771812202,0.00210001667259187,0.0027104441047188,0.0282918811341881,0.00368863685591641,0.000550900986612185,0.00439407869123924,0.0525255825210806,0.266441617868607
"21","san luis potosi",1.27088311206546,0.0433728106492876,0.0101696626306461,0.0239194037530455,0.0103218996382834,0.00387496291599655,0.00404101264215985,0.00012177482798778,0.00010740044274203,0.000717323323041213,0.00466904366313969,0.00319284139688129,0.000182692112930698,2.15698529200699e-05,0.000779051349354213,0.708156019936834,1.19233311737971,0.0314336735913759,0.00913916007696545,0.021543317542809,0.00815528000297117,0.000269959910919268,0.000210429054265579,9.92755340913182e-05,8.72752603277246e-05,0.000617202890203195,0.00406572154367734,0.00278274564655971,0.000151420097621201,1.47242456401763e-05,0.000671351484946752,0.543628171681844,1.35401511782894,0.055543349455624,0.0113469107540425,0.0262099392386274,0.0125143158802399,0.00829744651235731,0.0109973756144025,0.000162860150533344,0.000144280230121379,0.000939852004399311,0.00607983376940606,0.00415257817243151,0.000239772652742367,3.18631867233711e-05,0.00101532805173717,0.803013293362923
"22","sinaloa",1.12742816812839,0.000119722058057975,0.00888938269764866,0.0145477762084512,0.012667084776531,0.00873043278421029,0.000806894721634385,0.035520074376573,0.0126323472141688,0.0153992642066101,0.0102132587292753,0.0237418806345975,0.0343245101067474,0.0196492847274917,0.0096538022095629,0.0354340227924107,1.05089224101038,4.77227550535062e-06,0.00773413997444001,0.0118653308140001,0.0102164030473998,0.00496219304720128,3.01097803570805e-05,0.0312668490558592,0.0110623593839694,0.013515975717144,0.00892189286037905,0.0208926996043857,0.0301705445754109,0.0170950381730698,0.00830920751488679,0.0310037384402948,1.20699798625463,0.000492139739594147,0.010243949066521,0.0171313248197083,0.0151155059139508,0.0122504763090758,0.00413866454622841,0.0401782228576895,0.0144061080272031,0.0174861313893509,0.0116804775980096,0.0269313029989388,0.0390504213014708,0.0226521782676574,0.0112460771438398,0.0406093256437687
"23","sonora",1.05184440275897,0.000721154145347935,0.0119442590816763,0.0153108114613899,0.00788918201817702,0.00501109867659942,0.00443215209833885,0.00570574636645324,0.00613502520541958,0.00670939783848885,0.0237875040548488,0.00115339622980801,0.0032009186796379,0.0979072944186088,0.0018571030810541,0.0284166187771183,0.960927076671209,0.000242876205683958,0.0103037136342012,0.0122080074176462,0.00509412643336228,0.000405121331176023,0.00018974908891506,0.00437884930177388,0.00473330723129741,0.00520113527256358,0.0186199065743243,0.000838876629082784,0.00245145327067128,0.0770596026752458,0.00139612853533722,0.0229672369486702,1.14989351236358,0.00137728055778869,0.0139338933465848,0.0183552363498157,0.0105399256933447,0.0103308580233135,0.013821878761177,0.00723968863258205,0.00774634387932805,0.00844834869104049,0.0296001911115542,0.00153942527522344,0.0040723651950322,0.12122587347508,0.00242276487751875,0.0361341883244558
"24","tabasco",1.21618930153636,0.00222635444970079,0.00598815878888886,0.0231314883801833,0.0110880619383087,0.0127651815264251,0.00187234281599264,0.0424693514611706,0.0052237298188642,0.00585551179964629,0.0513582156919064,0.0188501918056239,0.0025907166160973,0.0217174048795787,0.0607815798218774,0.0545557559967357,1.15989136273345,0.00154854332124509,0.00522806280891792,0.021254118481938,0.00914331045736715,0.0079962741895747,7.09611303352976e-05,0.0381579390198318,0.0046267482503255,0.00521542309188588,0.0466325733643062,0.0170143446180508,0.00224262936512295,0.0195593105256674,0.0546941691366361,0.0486733195850261,1.27555059505313,0.00295309768338396,0.00680405078966356,0.025012833366993,0.0130213101025411,0.0165761966376802,0.0085843205285845,0.0473884908653453,0.00589140882012059,0.0065940719708997,0.0565004521374754,0.0209551484068346,0.00298479652678935,0.0241828528344302,0.0677810331040771,0.0609898833629581
"25","tamaulipas",1.05304334508816,0.00177761268080696,0.0114675640465097,0.0146639856537915,0.0124088052595466,0.0167773498802483,0.00117005125077983,0.0188532841610525,0.0133248787883727,0.00328279351738182,0.0167303707141191,0.0430299269376926,0.00171440573087075,0.000622946128503929,0.00194420045111705,0.0958339478481161,0.999805283144106,0.000518203980173238,0.0104504971792829,0.0127996691230651,0.0106713629280896,0.0131871910260173,3.97660726485513e-05,0.0159977877386247,0.0113547494550843,0.00277807703376299,0.0143151064305437,0.0368182834481243,0.0014428935661508,0.000505915146828354,0.00163509814401378,0.0835997723084245,1.10792139858503,0.00338927618849367,0.0126192416620528,0.0164536829871445,0.0142044835262047,0.0198331309810223,0.00543750270084774,0.0218532910156947,0.0153764670978599,0.00382546406783451,0.0192318125819846,0.0495160164390015,0.00202113571115423,0.000759751064793993,0.00228573359709093,0.111564362253624
"26","veracruz",1.2976151242977,0.0139958939730124,0.00826977128682099,0.0207953974226409,0.00978464769818853,0.0140845975095632,0.000445747653952626,0.00911319220207334,0.0026607301093951,0.0084390507601837,0.0311193563859916,0.00362933567084819,0.00143887617657765,0.00243005560619267,0.022588563366426,0.173934376543143,1.26459063205673,0.0123234406621852,0.00780466077242235,0.0197706642661436,0.00891429034060913,0.012547751476763,1.8665217779124e-05,0.00829579631121733,0.00241718886683648,0.00770259337414392,0.0285203210021659,0.0033298864953085,0.00131127880315665,0.00222377631489885,0.0207627834197675,0.160226860073809,1.33158823919695,0.0159616165321037,0.00876951437088879,0.0218157348965737,0.010664804245209,0.0154559825929336,0.00207757195244058,0.0099439886245573,0.00291083695473592,0.00918170804230269,0.0337238445892935,0.0039384592734936,0.001570973583899,0.00264286214957358,0.02443163582707,0.189861778345019
"27","yucatan",1.04834044412843,0.0107635707616184,0.0285106636457076,0.0138366311593648,0.0135579280269724,0.0110499795771772,0.00288455585214021,0.0262232479175559,0.00597192098301157,0.00256693775386014,0.0217867652707313,0.00425264143626869,0.000549538802099247,0.00643542791616675,0.249242673097274,0.0947413972918971,1.00798969180809,0.00993019608545215,0.0273580219111321,0.0128624818543023,0.0122650211542256,0.00612204523451658,0.000121147201962201,0.0253705086413052,0.00559456158567789,0.00232601602134786,0.0210265315706164,0.00393927875328551,0.000443343149731982,0.00605733953288609,0.245899311536198,0.0917568367801921,1.09036514569115,0.0116403988851483,0.0296347943143045,0.0148271384832394,0.0149326295613785,0.0144115483657523,0.0116014922914678,0.0270645770038624,0.00636609713602094,0.00282556248792225,0.0225599897011271,0.00457404920948944,0.000671731998090698,0.0068374732747316,0.249972764316603,0.0979674843970667
